gene,connectivity,dynamicColors,moduleColors,moduleLabels
Scube3,13.969250088324248,brown,brown,1
Kidins220,13.928245820505675,brown,brown,1
Pgap1,13.85501860993442,brown,brown,1
Samd8,13.838764474804124,brown,brown,1
Il17rd,13.829886464915369,brown,brown,1
Col27a1,13.767981700431537,brown,brown,1
Fndc3b,13.74208454447094,brown,brown,1
Edc4,13.636488272790055,brown,brown,1
Hdx,13.606650134156986,brown,brown,1
Gabre,13.453560894727977,brown,brown,1
Lrrk2,13.443516773738642,brown,brown,1
Crb2,13.419161642890188,brown,brown,1
C2cd2,13.37235453429899,brown,brown,1
Tmem214,13.348199112553232,brown,brown,1
Prpf8,13.276255497226977,brown,brown,1
RGD1565410,13.200709520268934,brown,brown,1
Cacna1h,13.194000905240017,brown,brown,1
Gpr89b,13.157690422525972,brown,brown,1
RGD1565283,13.140080602912422,brown,brown,1
Trim67,13.02241672201508,brown,brown,1
Sntb2,12.992556812252204,brown,brown,1
Arhgap20,12.881140414174965,brown,brown,1
Setd5,12.877041312222515,brown,brown,1
Kif26b,12.833567676158513,brown,brown,1
Helz2,12.808077952337628,brown,brown,1
Kcnn3,12.795365167776534,brown,brown,1
Tyk2,12.743328300088923,brown,brown,1
Sytl5,12.737919019127492,brown,brown,1
Ncam1,12.684667649127604,brown,brown,1
Ap1g1,12.646163226162889,brown,brown,1
Dip2c,12.639861759497734,brown,brown,1
Pi4k2a,12.607841524430146,brown,brown,1
Usp24,12.590202252403982,brown,brown,1
Atp2a2,12.566683701798237,brown,brown,1
Astn1,12.523734204888665,brown,brown,1
Sstr3,12.51665621182528,brown,brown,1
Shisa6,12.470870239514673,brown,brown,1
Slc4a7,12.457264772545434,brown,brown,1
Hcrt,12.356083582892667,brown,brown,1
RGD1309350,12.273617372169698,brown,brown,1
RT1-T24-2,12.235167729457828,brown,brown,1
Lnc012,12.223049772318397,brown,brown,1
Ttc39b,12.19287443098362,brown,brown,1
Txlna,12.15375665667256,brown,brown,1
Usp36,12.145292074937188,brown,brown,1
Cers4,12.138269202346669,brown,brown,1
Invs,12.120560259364588,brown,brown,1
Cnot1,12.03467829805559,brown,brown,1
Arid3a,11.972266775313638,brown,brown,1
Zfp709l1,11.95569547672079,brown,brown,1
Bub1b,11.928643128327643,brown,brown,1
Shprh,11.91881975615443,brown,brown,1
Miat,11.810351280855429,brown,brown,1
Defb27,11.769493242490523,brown,brown,1
Mir3072,11.718811678875976,brown,brown,1
Pcdhga12,11.679690932126146,brown,brown,1
